"colostrum","milky fluid secreted for the first day or two after parturition"
"foremilk","milky fluid secreted for the first day or two after parturition"
"waters","the serous fluid in which the embryo is suspended inside the amnion; ""before a woman gives birth her waters break"""
"blood","the fluid (red in vertebrates) that is pumped by the heart; ""blood carries oxygen and nutrients to the tissues and carries waste products away""; ""the ancients believed that blood was the seat of the emotions"""
"gore","coagulated blood from a wound"
"lifeblood","the blood considered as the seat of vitality"
"bloodstream","the blood flowing through the circulatory system"
"clot","a lump of material formed from the content of a liquid"
"coagulum","a lump of material formed from the content of a liquid"
"grume","a semisolid mass of coagulated red and white blood cells"
"menorrhea","flow of blood from the uterus; occurs at roughly monthly intervals during a woman''s reproductive years"
"serum","watery fluid of the blood that resembles plasma but contains fibrinogen"
"plasma","colorless watery fluid of blood and lymph containing no cells and in which erythrocytes and leukocytes and platelets are suspended"
"plasm","colorless watery fluid of blood and lymph containing no cells and in which erythrocytes and leukocytes and platelets are suspended"
"antiserum","blood serum containing antibodies against specific antigens; provides immunity to a disease"
"chyle","a milky fluid consisting of lymph and emulsified fats; formed in the small intestine during digestion of ingested fats"
"lymph","a thin coagulable fluid (similar to plasma but) containing white blood cells (lymphocytes) and chyle; is conveyed to the blood stream by lymphatic vessels"
"semen","the thick white fluid containing spermatozoa that is ejaculated by the male genital tract"
"seed","the thick white fluid containing spermatozoa that is ejaculated by the male genital tract"
"ejaculate","the thick white fluid containing spermatozoa that is ejaculated by the male genital tract"
"secretion","a functionally specialized substance (especially one that is not a waste) released from a gland or cell"
"tear","a drop of the clear salty saline solution secreted by the lacrimal glands; ""his story brought tears to her eyes"""
"teardrop","a drop of the clear salty saline solution secreted by the lacrimal glands; ""his story brought tears to her eyes"""
"perspiration","salty fluid secreted by sweat glands; ""sweat poured off his brow"""
"sweat","salty fluid secreted by sweat glands; ""sweat poured off his brow"""
"sudor","salty fluid secreted by sweat glands; ""sweat poured off his brow"""
"bile","a digestive juice secreted by the liver and stored in the gallbladder; aids in the digestion of fats"
"gall","a digestive juice secreted by the liver and stored in the gallbladder; aids in the digestion of fats"
"melancholy","a humor that was once believed to be secreted by the kidneys or spleen and to cause sadness and melancholy"
"choler","a humor that was once believed to be secreted by the liver and to cause irritability and anger"
"hormone","the secretion of an endocrine gland that is transmitted by the blood to the tissue on which it has a specific effect"
"endocrine","the secretion of an endocrine gland that is transmitted by the blood to the tissue on which it has a specific effect"
"noradrenaline","a catecholamine precursor of epinephrine that is secreted by the adrenal medulla and also released at synapses"
"ACTH","a hormone produced by the anterior pituitary gland that stimulates the adrenal cortex"
"corticotropin","a hormone produced by the anterior pituitary gland that stimulates the adrenal cortex"
"epinephrine","a catecholamine secreted by the adrenal medulla in response to stress (trade name Adrenalin); stimulates autonomic nerve action"
"epinephrin","a catecholamine secreted by the adrenal medulla in response to stress (trade name Adrenalin); stimulates autonomic nerve action"
"adrenaline","a catecholamine secreted by the adrenal medulla in response to stress (trade name Adrenalin); stimulates autonomic nerve action"
"Adrenalin","a catecholamine secreted by the adrenal medulla in response to stress (trade name Adrenalin); stimulates autonomic nerve action"
"gastrin","polypeptide hormone secreted by the mucous lining of the stomach; induces the secretion of gastric juice"
"ghrelin","a hormone produced by stomach cells; ""ghrelin is thought to increase feelings of hunger"""
"glucagon","a hormone secreted by the pancreas; stimulates increases in blood sugar levels in the blood (thus opposing the action of insulin)"
"gonadotropin","hormone secreted by the anterior pituitary gland and placenta; stimulates the gonads and controls reproductive activity"
"gonadotrophin","hormone secreted by the anterior pituitary gland and placenta; stimulates the gonads and controls reproductive activity"
"insulin","hormone secreted by the isles of Langerhans in the pancreas; regulates storage of glycogen in the liver and accelerates oxidation of sugar in cells"
"Humulin","a form of insulin (trade name Humulin) made from recombinant DNA that is identical to human insulin; used to treat diabetics who are allergic to preparations made from beef or pork insulin"
"melatonin","hormone secreted by the pineal gland"
"neurohormone","a hormone that is released by nerve impulses (e.g., norepinephrine or vasopressin)"
"oxytocin","hormone secreted by the posterior pituitary gland (trade name Pitocin); stimulates contractions of the uterus and ejection of milk"
"Pitocin","hormone secreted by the posterior pituitary gland (trade name Pitocin); stimulates contractions of the uterus and ejection of milk"
"parathormone","hormone synthesized and released into the blood stream by the parathyroid glands; regulates phosphorus and calcium in the body and functions in neuromuscular excitation and blood clotting"
"relaxin","hormone secreted by the corpus luteum during the last days of pregnancy; relaxes the pelvic ligaments and prepares the uterus for labor"
"secretin","peptic hormone produced by the mucous lining of the small intestine; can stimulate secretion by the pancreas and liver"
"somatotropin","a hormone produced by the anterior pituitary gland; promotes growth in humans"
"somatotrophin","a hormone produced by the anterior pituitary gland; promotes growth in humans"
"Protropin","trade name of a synthetic human growth hormone given to children deficient in the hormone; use by athletes and weight lifters is banned"
"thymosin","hormone secreted by the thymus; stimulates immunological activity of lymphoid tissue"
"calcitonin","thyroid hormone that tends to lower the level of calcium in the blood plasma and inhibit resorption of bone"
"thyroxine","hormone produced by the thyroid glands to regulate metabolism by controlling the rate of oxidation in cells; ""thyroxine is 65% iodine"""
"thyroxin","hormone produced by the thyroid glands to regulate metabolism by controlling the rate of oxidation in cells; ""thyroxine is 65% iodine"""
"liothyronine","thyroid hormone similar to thyroxine but with one less iodine atom per molecule and produced in smaller quantity; exerts the same biological effects as thyroxine but is more potent and briefer"
"vasopressin","hormone secreted by the posterior pituitary gland (trade name Pitressin) and also by nerve endings in the hypothalamus; affects blood pressure by stimulating capillary muscles and reduces urine flow by affecting reabsorption of water by kidney tubules"
"Pitressin","hormone secreted by the posterior pituitary gland (trade name Pitressin) and also by nerve endings in the hypothalamus; affects blood pressure by stimulating capillary muscles and reduces urine flow by affecting reabsorption of water by kidney tubules"
"autacoid","any physiologically active internal secretion especially one of uncertain classification"
"autocoid","any physiologically active internal secretion especially one of uncertain classification"
