"eczema","generic term for inflammatory conditions of the skin; particularly with vesiculation in the acute stages"
"erythema","abnormal redness of the skin resulting from dilation of blood vessels (as in sunburn or inflammation)"
"hickey","a temporary red mark on a person''s skin resulting from kissing or sucking by their lover"
"ENL","an inflammatory complication of leprosy that results in painful skin lesions on the arms and legs and face"
"erythroderma","any skin disorder involving abnormal redness"
"flare","reddening of the skin spreading outward from a focus of infection or irritation"
"furunculosis","acute skin disease characterized by the presence of many furuncles"
"impetigo","a very contagious infection of the skin; common in children; localized redness develops into small blisters that gradually crust and erode"
"keratoderma","any skin disorder consisting of a growth that appears horny"
"keratodermia","any skin disorder consisting of a growth that appears horny"
"keratonosis","any abnormal condition of the outer skin (epidermis)"
"keratosis","a skin condition marked by an overgrowth of layers of horny skin"
"leukoderma","a congenital skin condition characterized by spots or bands of unpigmented skin"
"lichen","any of several eruptive skin diseases characterized by hard thick lesions grouped together and resembling lichens growing on rocks"
"livedo","skin disorder characterized by patchy bluish discolorations on the skin"
"lupus","any of several forms of ulcerative skin disease"
"melanosis","a condition characterized by abnormal deposits of melanin (especially in the skin)"
"melanism","a condition characterized by abnormal deposits of melanin (especially in the skin)"
"molluscum","any skin disease characterized by soft pulpy nodules"
"pemphigus","a skin disease characterized by large thin-walled blisters (bullae) arising from normal skin or mucous membrane"
"pityriasis","any of several skin disorders characterized by shedding dry flakes of skin"
"dandruff","a condition in which white scales of dead skin are shed by the scalp"
"prurigo","chronic inflammatory disease of the skin characterized by blister capped papules and intense itching"
"psoriasis","a chronic skin disease characterized by dry red patches covered with scales; occurs especially on the scalp and ears and genitalia and the skin over bony prominences"
"rhagades","cracks or fissures in the skin (especially around the mouth or anus)"
"erysipelas","an acute streptococcal infection characterized by deep-red inflammation of the skin and mucous membranes"
"scleredema","a skin disease marked by hard edema of the tissue usually beginning in the face"
"seborrhea","a condition in which overactivity of the sebaceous glands causes the skin to become oily"
"vitiligo","an acquired skin disease characterized by patches of unpigmented skin (often surrounded by a heavily pigmented border)"
"xanthelasma","xanthoma of the eyelids; occurs chiefly in the elderly"
"xanthoma","a skin problem marked by the development (on the eyelids and neck and back) of irregular yellow nodules; sometimes attributable to disturbances of cholesterol metabolism"
"xanthomatosis","widespread xanthomas (especially on elbows and knees); often associated with a disorder of lipid metabolism"
"xanthosis","an abnormal yellow discoloration of the skin"
"growth","(pathology) an abnormal proliferation of tissue (as in a tumor)"
"exostosis","a benign outgrowth from a bone (usually covered with cartilage)"
"polyp","a small vascular growth on the surface of a mucous membrane"
"polypus","a small vascular growth on the surface of a mucous membrane"
"peduncle","the thin process of tissue that attaches a polyp to the body"
"tumor","an abnormal new mass of tissue that serves no purpose"
"tumour","an abnormal new mass of tissue that serves no purpose"
"neoplasm","an abnormal new mass of tissue that serves no purpose"
"acanthoma","a neoplasm originating in the epidermis"
