"hump","arch one''s back"
"straighten","straighten up or out; make straight"
"unbend","straighten up or out; make straight"
"bend","form a curve; ""The stick does not bend"""
"flex","form a curve; ""The stick does not bend"""
"incurvate","bend inwards; ""The body incurvates a little at the back"""
"retroflex","bend or turn backward"
"replicate","bend or turn backward"
"dress","arrange in ranks; ""dress troops"""
"queue","form a queue, form a line, stand in line; ""Customers lined up in front of the store"""
"flex","contract; ""flex a muscle"""
"slope","be at an angle; ""The terrain sloped down"""
"incline","be at an angle; ""The terrain sloped down"""
"pitch","be at an angle; ""The terrain sloped down"""
"ascend","slope upwards; ""The path ascended to the top of the hill"""
"stoop","sag, bend, bend over or down; ""the rocks stooped down over the hiking path"""
"fall","slope downward; ""The hills around here fall towards the ocean"""
"climb","slope upward; ""The path climbed all the way to the top of the hill"""
"dip","slope downwards; ""Our property dips towards the river"""
"weather","cause to slope"
"lean","to incline or bend from a vertical position; ""She leaned over the banister"""
"tilt","to incline or bend from a vertical position; ""She leaned over the banister"""
"tip","to incline or bend from a vertical position; ""She leaned over the banister"""
"slant","to incline or bend from a vertical position; ""She leaned over the banister"""
"angle","to incline or bend from a vertical position; ""She leaned over the banister"""
"list","tilt to one side; ""The balloon heeled over""; ""the wind made the vessel heel""; ""The ship listed to starboard"""
"heel","tilt to one side; ""The balloon heeled over""; ""the wind made the vessel heel""; ""The ship listed to starboard"""
"list","cause to lean to the side; ""Erosion listed the old tree"""
"lean","cause to lean to the side; ""Erosion listed the old tree"""
"recline","move the upper body backwards and down"
"bank","tip laterally; ""the pilot had to bank the aircraft"""
"tip","cause to tilt; ""tip the screen upward"""
"dip","appear to move downward; ""The sun dipped below the horizon""; ""The setting sun sank below the tree line"""
"sink","appear to move downward; ""The sun dipped below the horizon""; ""The setting sun sank below the tree line"""
"decline","go down; ""The roof declines here"""
"ripple","stir up (water) so as to form ripples"
"ruffle","stir up (water) so as to form ripples"
"riffle","stir up (water) so as to form ripples"
"cockle","stir up (water) so as to form ripples"
"undulate","stir up (water) so as to form ripples"
"bow","bend the head or the upper part of the body in a gesture of respect or greeting; ""He bowed before the King"""
"curtsy","a gesture of respectful greeting, for women"
"curtsey","a gesture of respectful greeting, for women"
"scrape","bend the knees and bow in a servile manner"
"kowtow","bend the knees and bow in a servile manner"
"genuflect","bend the knees and bow in a servile manner"
"genuflect","bend the knees and bow in church or before a religious superior or image"
"dip","lower briefly; ""She dipped her knee"""
"billow","rise and move, as in waves or billows; ""The army surged forward"""
"surge","rise and move, as in waves or billows; ""The army surged forward"""
"heave","rise and move, as in waves or billows; ""The army surged forward"""
"billow","rise up as if in waves; ""smoke billowed up nto the sky"""
"wallow","rise up as if in waves; ""smoke billowed up nto the sky"""
"cloud","billow up in the form of a cloud; ""The smoke clouded above the houses"""
"billow","move with great difficulty; ""The soldiers billowed across the muddy riverbed"""
"crumble","fall apart; ""the building crimbled after the explosion""; ""Negociations broke down"""
"crumple","fall apart; ""the building crimbled after the explosion""; ""Negociations broke down"""
"tumble","fall apart; ""the building crimbled after the explosion""; ""Negociations broke down"""
"collapse","fall apart; ""the building crimbled after the explosion""; ""Negociations broke down"""
"burrow","move through by or as by digging; ""burrow through the forest"""
"tunnel","move through by or as by digging; ""burrow through the forest"""
"circulate","move around freely; ""She circulates among royalty"""
"circulate","move through a space, circuit or system, returning to the starting point; ""Blood circulates in my veins""; ""The air here does not circulate"""
"ventilate","circulate through and freshen; ""The gust of air ventilated the room"""
"circulate","cause to move in a circuit or system; ""The fan circulates the air in the room"""
"convect","circulate hot air by convection"
"circulate","cause to be distributed; ""This letter is circulating among the faculty"""
"distribute","cause to be distributed; ""This letter is circulating among the faculty"""
"circularize","distribute circulars to"
"circularise","distribute circulars to"
"utter","put into circulation; ""utter counterfeit currency"""
"orbit","move in an orbit; ""The moon orbits around the Earth""; ""The planets are orbiting the sun""; ""electrons orbit the nucleus"""
"revolve","move in an orbit; ""The moon orbits around the Earth""; ""The planets are orbiting the sun""; ""electrons orbit the nucleus"""
"circle","move in circles"
"circulate","move in circles"
"troll","circulate, move around"
"loop","fly loops, perform a loop; ""the stunt pilot looped his plane"""
"loop","move in loops; ""The bicycle looped around the tree"""
"angle","move or proceed at an angle; ""he angled his way into the room"""
"revolve","turn on or around an axis or a center; ""The Earth revolves around the Sun""; ""The lamb roast rotates on a spit over the fire"""
"rotate","turn on or around an axis or a center; ""The Earth revolves around the Sun""; ""The lamb roast rotates on a spit over the fire"""
"splay","turn outward; ""These birds can splay out their toes""; ""ballet dancers can rotate their legs out by 90 degrees"""
"rotate","turn outward; ""These birds can splay out their toes""; ""ballet dancers can rotate their legs out by 90 degrees"""
"splay","spread open or apart; ""He splayed his huge hands over the table"""
"rotate","cause to turn on an axis or center; ""Rotate the handle"""
"circumvolve","cause to turn on an axis or center; ""Rotate the handle"""
"wheel","change directions as if revolving on a pivot; ""They wheeled their horses around and left"""
"cartwheel","do cartwheels: perform an acrobatic movement using both hands and feet"
"wheel","wheel somebody or something"
"pivot","turn on a pivot"
"swivel","turn on a pivot"
"spin","revolve quickly and repeatedly around one''s own axis; ""The dervishes whirl around and around without getting dizzy"""
"whirl","revolve quickly and repeatedly around one''s own axis; ""The dervishes whirl around and around without getting dizzy"""
"reel","revolve quickly and repeatedly around one''s own axis; ""The dervishes whirl around and around without getting dizzy"""
"gyrate","revolve quickly and repeatedly around one''s own axis; ""The dervishes whirl around and around without getting dizzy"""
"whirligig","whirl or spin like a whirligig"
"centrifuge","rotate at very high speed in order to separate the liquids from the solids"
"centrifugate","rotate at very high speed in order to separate the liquids from the solids"
"eddy","flow in a circular current, of liquids"
"purl","flow in a circular current, of liquids"
"whirlpool","flow in a circular current, of liquids"
"swirl","flow in a circular current, of liquids"
