"venial","warranting only temporal punishment; ""venial sin"""
"unpardonable","not admitting of pardon; ""unpardonable behavior"""
"deadly","involving loss of divine grace or spiritual death; ""the seven deadly sins"""
"mortal(a)","involving loss of divine grace or spiritual death; ""the seven deadly sins"""
"inexcusable","not excusable"
"unforgivable","not excusable"
"inexpiable","incapable of being atoned for"
"excusable","capable of being overlooked"
"justifiable","capable of being justified"
"inexcusable","without excuse or justification"
"indefensible","incapable of being justified or explained"
"insupportable","incapable of being justified or explained"
"unjustifiable","incapable of being justified or explained"
"unwarrantable","incapable of being justified or explained"
"unwarranted","incapable of being justified or explained"
"parental","relating to or characteristic of or befitting a parent; ""parental guidance"""
"maternal","relating to or characteristic of or befitting a parent; ""parental guidance"""
"paternal","relating to or characteristic of or befitting a parent; ""parental guidance"""
"filial","relating to or characteristic of or befitting an offspring; ""filial respect"""
"daughterly","befitting a daughter; ""daughterly affection"""
"partial","showing favoritism"
"unfair","showing favoritism"
"biased","favoring one person or side over another; ""a biased account of the trial""; ""a decision that was partial to the defendant"""
"colored","favoring one person or side over another; ""a biased account of the trial""; ""a decision that was partial to the defendant"""
"coloured","favoring one person or side over another; ""a biased account of the trial""; ""a decision that was partial to the defendant"""
"slanted","favoring one person or side over another; ""a biased account of the trial""; ""a decision that was partial to the defendant"""
"impartial","showing lack of favoritism; ""the cold neutrality of an impartial judge"""
"fair","showing lack of favoritism; ""the cold neutrality of an impartial judge"""
"disinterested","unaffected by self-interest"
"dispassionate","unaffected by strong emotion or prejudice; ""a journalist should be a dispassionate reporter of fact"""
"indifferent","characterized by a lack of partiality; ""a properly indifferent jury""; ""an unbiased account of her family problems"""
"unbiased","characterized by a lack of partiality; ""a properly indifferent jury""; ""an unbiased account of her family problems"""
"unbiassed","characterized by a lack of partiality; ""a properly indifferent jury""; ""an unbiased account of her family problems"""
"indifferent","marked by no especial liking or dislike or preference for one thing over another; ""indifferent about which book you would give them""; ""was indifferent to their acceptance or rejection of her invitation"""
"particulate","composed of distinct particles"
"passable","able to be passed or traversed or crossed; ""the road is passable"""
"navigable","able to be sailed on or through safely; ""navigable waters""; ""a navigable channel"""
"negotiable","capable of being passed or negotiated; ""a negotiable road"""
"surmountable","capable of being surmounted"
"climbable","capable of being surmounted"
